minute,value,match_id
23.0,-6,12812989
24.0,-24,12812989
25.0,-13,12812989
26.0,-4,12812989
27.0,2,12812989
28.0,21,12812989
29.0,10,12812989
30.0,33,12812989
31.0,14,12812989
32.0,52,12812989
33.0,41,12812989
34.0,55,12812989
35.0,33,12812989
36.0,58,12812989
37.0,-35,12812989
38.0,11,12812989
39.0,-5,12812989
40.0,-24,12812989
41.0,-14,12812989
42.0,-15,12812989
43.0,-72,12812989
44.0,-20,12812989
45.0,-5,12812989
45.5,26,12812989
46.0,-6,12812989
47.0,-7,12812989
48.0,7,12812989
49.0,36,12812989
50.0,46,12812989
51.0,39,12812989
52.0,25,12812989
53.0,45,12812989
54.0,8,12812989
55.0,17,12812989
56.0,41,12812989
57.0,28,12812989
58.0,38,12812989
59.0,24,12812989
60.0,42,12812989
61.0,25,12812989
62.0,35,12812989
63.0,27,12812989
64.0,35,12812989
65.0,32,12812989
66.0,21,12812989
67.0,10,12812989
68.0,-50,12812989
69.0,-42,12812989
70.0,-24,12812989
71.0,16,12812989
72.0,9,12812989
73.0,25,12812989
74.0,24,12812989
75.0,31,12812989
76.0,11,12812989
77.0,-8,12812989
78.0,5,12812989
79.0,-12,12812989
80.0,-11,12812989
81.0,-9,12812989
82.0,-30,12812989
83.0,-21,12812989
84.0,-18,12812989
85.0,-13,12812989
86.0,-58,12812989
87.0,-41,12812989
88.0,-27,12812989
89.0,-30,12812989
90.0,-55,12812989
90.5,81,12812989
1.0,5,12812995
2.0,2,12812995
3.0,-54,12812995
4.0,-20,12812995
5.0,-5,12812995
6.0,7,12812995
7.0,27,12812995
8.0,34,12812995
9.0,20,12812995
10.0,13,12812995
11.0,8,12812995
12.0,4,12812995
13.0,3,12812995
14.0,4,12812995
15.0,9,12812995
16.0,72,12812995
17.0,65,12812995
18.0,42,12812995
19.0,14,12812995
20.0,16,12812995
21.0,-7,12812995
22.0,4,12812995
23.0,-3,12812995
24.0,5,12812995
25.0,6,12812995
26.0,8,12812995
27.0,8,12812995
28.0,-29,12812995
29.0,30,12812995
30.0,19,12812995
31.0,41,12812995
32.0,100,12812995
33.0,100,12812995
34.0,100,12812995
35.0,73,12812995
36.0,43,12812995
37.0,82,12812995
38.0,53,12812995
39.0,38,12812995
40.0,56,12812995
41.0,66,12812995
42.0,47,12812995
43.0,42,12812995
44.0,72,12812995
45.0,99,12812995
45.5,5,12812995
46.0,-1,12812995
47.0,-9,12812995
48.0,-6,12812995
49.0,14,12812995
50.0,39,12812995
51.0,19,12812995
52.0,21,12812995
53.0,43,12812995
54.0,23,12812995
55.0,10,12812995
56.0,17,12812995
57.0,-48,12812995
58.0,-28,12812995
59.0,-11,12812995
60.0,-1,12812995
61.0,6,12812995
62.0,41,12812995
63.0,57,12812995
64.0,24,12812995
65.0,15,12812995
66.0,35,12812995
67.0,39,12812995
68.0,17,12812995
69.0,5,12812995
70.0,3,12812995
71.0,-2,12812995
72.0,-3,12812995
73.0,27,12812995
74.0,39,12812995
75.0,21,12812995
76.0,12,12812995
77.0,15,12812995
78.0,20,12812995
79.0,18,12812995
80.0,34,12812995
81.0,57,12812995
82.0,32,12812995
83.0,81,12812995
84.0,52,12812995
85.0,33,12812995
86.0,17,12812995
87.0,-43,12812995
88.0,-24,12812995
89.0,-15,12812995
90.0,-55,12812995
90.5,-52,12812995
1.0,4,12813001
2.0,9,12813001
3.0,5,12813001
4.0,12,12813001
5.0,28,12813001
6.0,65,12813001
7.0,76,12813001
8.0,50,12813001
9.0,31,12813001
10.0,18,12813001
11.0,-27,12813001
12.0,-18,12813001
13.0,-1,12813001
14.0,-4,12813001
15.0,20,12813001
16.0,14,12813001
17.0,37,12813001
18.0,-35,12813001
19.0,-8,12813001
20.0,-23,12813001
21.0,-9,12813001
22.0,40,12813001
23.0,18,12813001
24.0,-22,12813001
25.0,-10,12813001
26.0,30,12813001
27.0,14,12813001
28.0,12,12813001
29.0,14,12813001
30.0,14,12813001
31.0,58,12813001
32.0,27,12813001
33.0,7,12813001
34.0,8,12813001
35.0,35,12813001
36.0,-24,12813001
37.0,10,12813001
38.0,1,12813001
39.0,-10,12813001
40.0,-12,12813001
41.0,-64,12813001
42.0,-41,12813001
43.0,-69,12813001
44.0,-27,12813001
45.0,17,12813001
45.5,-15,12813001
46.0,-4,12813001
47.0,10,12813001
48.0,-6,12813001
49.0,16,12813001
50.0,21,12813001
51.0,-23,12813001
52.0,10,12813001
53.0,2,12813001
54.0,-9,12813001
55.0,-21,12813001
56.0,-26,12813001
57.0,-46,12813001
58.0,-53,12813001
59.0,-23,12813001
60.0,-17,12813001
61.0,-12,12813001
62.0,-18,12813001
63.0,-22,12813001
64.0,-42,12813001
65.0,-27,12813001
66.0,-24,12813001
67.0,21,12813001
68.0,86,12813001
69.0,62,12813001
70.0,24,12813001
71.0,12,12813001
72.0,-7,12813001
73.0,-5,12813001
74.0,-22,12813001
75.0,-35,12813001
76.0,-25,12813001
77.0,-15,12813001
78.0,-4,12813001
79.0,-6,12813001
80.0,-2,12813001
81.0,-4,12813001
82.0,-8,12813001
83.0,-33,12813001
84.0,-29,12813001
85.0,-46,12813001
86.0,-20,12813001
87.0,-17,12813001
88.0,-21,12813001
89.0,-25,12813001
90.0,-82,12813001
90.5,17,12813001
1.0,-4,12813020
2.0,12,12813020
3.0,-7,12813020
4.0,-9,12813020
5.0,-15,12813020
6.0,-12,12813020
7.0,-38,12813020
8.0,-26,12813020
9.0,-12,12813020
10.0,-40,12813020
11.0,-31,12813020
12.0,18,12813020
13.0,15,12813020
14.0,37,12813020
15.0,51,12813020
16.0,38,12813020
17.0,47,12813020
18.0,21,12813020
19.0,5,12813020
20.0,-15,12813020
21.0,-11,12813020
22.0,-17,12813020
23.0,-1,12813020
24.0,-3,12813020
25.0,-1,12813020
26.0,-1,12813020
27.0,11,12813020
28.0,6,12813020
29.0,30,12813020
30.0,74,12813020
31.0,86,12813020
32.0,39,12813020
33.0,-40,12813020
34.0,28,12813020
35.0,1,12813020
36.0,61,12813020
37.0,78,12813020
38.0,45,12813020
39.0,48,12813020
40.0,23,12813020
41.0,-65,12813020
42.0,-25,12813020
43.0,-65,12813020
44.0,-33,12813020
45.0,-9,12813020
45.5,77,12813020
46.0,-3,12813020
47.0,-6,12813020
48.0,7,12813020
49.0,46,12813020
50.0,53,12813020
51.0,35,12813020
52.0,76,12813020
53.0,84,12813020
54.0,52,12813020
55.0,43,12813020
56.0,25,12813020
57.0,14,12813020
58.0,31,12813020
59.0,16,12813020
60.0,7,12813020
61.0,-14,12813020
62.0,-1,12813020
63.0,5,12813020
64.0,10,12813020
65.0,4,12813020
66.0,26,12813020
67.0,19,12813020
68.0,14,12813020
69.0,12,12813020
70.0,11,12813020
71.0,8,12813020
72.0,26,12813020
73.0,19,12813020
74.0,56,12813020
75.0,81,12813020
76.0,47,12813020
77.0,24,12813020
78.0,31,12813020
79.0,45,12813020
80.0,17,12813020
81.0,20,12813020
82.0,49,12813020
83.0,29,12813020
84.0,15,12813020
85.0,66,12813020
86.0,33,12813020
